Customer,State,Customer_Lifetime_Value,Response,Coverage,Education,Effective_To_Date,Employment_Status,Gender,Income,Location_Code,Marital_Status,Monthly_Premium_Auto,Months_Since_Last_Claim,Months_Since_Policy_Inception,Number_of_Open_Complaints,Number of Policies,Policy_Type,Policy,Renew_Offer_Type,Sales_Channel,Total_Claim_Amount,Vehicle_Class,Vehicle_Size
TO19482,Oregon,4874.665223,false,Basic,High School or Below,2024-02-12,Employed,M,67467,Suburban,Married,61,4,22,0,9,Personal Auto,Personal L2,Offer4,Branch,365.879938,Two-Door Car,Medsize
LM67096,Oregon,2127.92357,false,Basic,Bachelor,2024-01-17,Unemployed,F,0,Rural,Divorced,61,11,6,1,1,Corporate Auto,Corporate L2,Offer1,Web,31.481852,Four-Door Car,Medsize
KA25468,California,4905.321482,false,Basic,Master,2024-02-03,Employed,M,46177,Suburban,Married,61,8,32,0,8,Personal Auto,Personal L3,Offer1,Web,379.075927,Four-Door Car,Small
QF17193,Arizona,2389.310128,false,Basic,College,2024-02-18,Employed,F,20484,Urban,Married,61,3,89,0,1,Personal Auto,Personal L3,Offer2,Agent,181.218317,Four-Door Car,Medsize
JG13893,Nevada,7355.349908,false,Basic,Bachelor,2024-01-19,Employed,M,51789,Suburban,Married,61,33,31,0,2,Corporate Auto,Corporate L2,Offer4,Call Center,435.835125,Two-Door Car,Large
YI68606,Oregon,2442.200921,false,Basic,High School or Below,2024-02-12,Employed,F,75449,Rural,Divorced,61,3,31,0,1,Corporate Auto,Corporate L3,Offer3,Agent,130.775164,Two-Door Car,Medsize
GW14698,Arizona,4882.493829,false,Basic,College,2024-02-28,Employed,F,80604,Urban,Married,61,22,86,0,3,Corporate Auto,Corporate L3,Offer4,Web,255.982609,Four-Door Car,Medsize
UF44021,California,2108.493744,false,Basic,Bachelor,2024-01-02,Unemployed,M,0,Suburban,Single,61,8,91,0,1,Personal Auto,Personal L2,Offer1,Agent,351.85681,Two-Door Car,Medsize
BS96517,Washington,2375.001798,false,Basic,College,2024-02-05,Employed,F,47455,Urban,Single,61,1,61,0,1,Personal Auto,Personal L1,Offer1,Agent,278.804991,Four-Door Car,Medsize
UK66803,Oregon,4926.282836,false,Basic,Bachelor,2024-01-09,Employed,F,49185,Rural,Married,61,11,92,0,8,Corporate Auto,Corporate L3,Offer3,Branch,126.950071,Two-Door Car,Medsize
HM55802,California,2392.10789,false,Basic,Bachelor,2024-02-05,Disabled,F,17870,Suburban,Married,61,30,91,0,1,Corporate Auto,Corporate L2,Offer2,Branch,439.2,Four-Door Car,Medsize
RW65977,Arizona,2191.133237,false,Basic,College,2024-01-29,Unemployed,M,0,Suburban,Single,61,9,16,1,1,Special Auto,Special L2,Offer1,Agent,439.2,Four-Door Car,Medsize
XH53960,Arizona,2167.330201,false,Basic,Bachelor,2024-02-12,Unemployed,F,0,Suburban,Single,61,16,46,0,1,Personal Auto,Personal L3,Offer3,Agent,439.2,Four-Door Car,Small
SB83749,California,4717.62873,false,Basic,High School or Below,2024-02-28,Employed,M,20355,Suburban,Married,61,4,6,1,3,Personal Auto,Personal L1,Offer2,Branch,439.2,Four-Door Car,Large
HM21382,Washington,2402.333284,false,Basic,Bachelor,2024-01-26,Employed,M,46210,Suburban,Married,61,24,44,3,1,Personal Auto,Personal L3,Offer2,Branch,439.2,Two-Door Car,Medsize
YL65673,California,19045.50012,false,Basic,Bachelor,2024-01-24,Unemployed,F,0,Suburban,Single,61,2,61,0,2,Personal Auto,Personal L2,Offer1,Agent,439.2,Four-Door Car,Small
KU42210,Arizona,14666.23121,false,Basic,Bachelor,2024-01-27,Unemployed,M,0,Suburban,Single,61,0,31,0,2,Corporate Auto,Corporate L2,Offer1,Branch,439.2,Four-Door Car,Small
EH70612,California,1918.1197,false,Basic,College,2024-02-15,Unemployed,M,0,Suburban,Single,61,2,54,2,1,Personal Auto,Personal L1,Offer1,Branch,439.2,Two-Door Car,Small
EK71077,California,11510.36033,false,Basic,Bachelor,2024-02-17,Unemployed,F,0,Suburban,Married,61,11,39,0,2,Corporate Auto,Corporate L1,Offer3,Agent,439.2,Four-Door Car,Medsize
FI22970,Oregon,2372.289378,false,Basic,High School or Below,2024-02-18,Medical Leave,F,25550,Suburban,Married,61,28,13,0,1,Personal Auto,Personal L3,Offer4,Agent,439.2,Four-Door Car,Small
ED87136,Arizona,4242.69282,false,Basic,High School or Below,2024-02-16,Unemployed,M,0,Suburban,Single,61,5,51,0,7,Personal Auto,Personal L2,Offer3,Call Center,439.2,Four-Door Car,Medsize
LN87823,California,4414.577688,false,Basic,High School or Below,2024-01-09,Unemployed,F,0,Suburban,Single,61,23,46,0,7,Personal Auto,Personal L2,Offer3,Agent,643.877067,Four-Door Car,Medsize
PJ92694,California,4762.591249,false,Basic,High School or Below,2024-01-06,Employed,M,57135,Urban,Divorced,61,25,47,0,8,Corporate Auto,Corporate L3,Offer2,Branch,156.921247,Four-Door Car,Medsize
NG94966,California,2437.084486,false,Basic,College,2024-02-27,Employed,M,34759,Suburban,Divorced,61,30,84,0,1,Personal Auto,Personal L3,Offer2,Agent,302.353842,Four-Door Car,Large
EC71857,Washington,2432.958093,false,Basic,Doctor,2024-01-08,Employed,F,28519,Rural,Married,61,9,94,0,1,Personal Auto,Personal L2,Offer2,Agent,111.865326,Four-Door Car,Medsize
NC76877,California,4905.127076,false,Basic,Bachelor,2024-02-03,Employed,F,88043,Urban,Married,61,2,43,0,3,Corporate Auto,Corporate L2,Offer2,Web,188.717606,Four-Door Car,Small
VC47959,Arizona,4895.811925,false,Basic,College,2024-02-05,Employed,F,54495,Urban,Married,61,7,3,0,8,Personal Auto,Personal L3,Offer1,Branch,182.350945,Four-Door Car,Medsize
IH91478,Oregon,4808.957973,false,Basic,Bachelor,2024-01-12,Medical Leave,F,23554,Rural,Married,61,12,17,0,6,Personal Auto,Personal L2,Offer1,Agent,142.459804,Two-Door Car,Medsize
EW86465,Arizona,4759.624343,false,Basic,High School or Below,2024-02-07,Employed,M,26747,Suburban,Married,61,11,44,0,3,Corporate Auto,Corporate L2,Offer3,Web,404.074203,Four-Door Car,Medsize
MS45259,Nevada,4864.382304,false,Basic,College,2024-02-27,Employed,M,88079,Rural,Married,61,16,37,0,3,Personal Auto,Personal L2,Offer2,Agent,121.88814,Two-Door Car,Medsize
UQ82778,Oregon,4540.9925,false,Basic,High School or Below,2024-02-14,Unemployed,F,0,Suburban,Divorced,61,14,4,0,3,Personal Auto,Personal L1,Offer2,Agent,486.121464,Two-Door Car,Medsize
QB14087,California,4869.282783,false,Basic,College,2024-01-19,Employed,F,44934,Suburban,Married,61,9,60,0,4,Personal Auto,Personal L1,Offer1,Agent,357.926979,Four-Door Car,Medsize
XJ97760,California,4739.861234,false,Basic,Master,2024-01-01,Employed,M,35039,Urban,Single,61,7,87,0,8,Personal Auto,Personal L1,Offer1,Call Center,254.308991,Four-Door Car,Medsize
VI55112,Oregon,14065.30235,false,Basic,College,2024-02-02,Employed,M,25275,Urban,Single,61,5,80,0,2,Corporate Auto,Corporate L1,Offer3,Agent,214.247114,Four-Door Car,Medsize
WR62597,Oregon,2311.382109,false,Basic,College,2024-01-28,Medical Leave,M,24641,Suburban,Married,61,16,57,0,1,Corporate Auto,Corporate L2,Offer1,Branch,294.92773,Four-Door Car,Medsize
NK26146,Washington,7072.928971,false,Basic,College,2024-02-11,Employed,F,90551,Suburban,Divorced,61,28,4,4,2,Corporate Auto,Corporate L3,Offer4,Call Center,374.527412,Four-Door Car,Small
HZ25580,Washington,2396.192355,false,Basic,High School or Below,2024-01-31,Employed,F,39062,Suburban,Divorced,61,2,20,0,1,Corporate Auto,Corporate L3,Offer2,Agent,346.991025,Two-Door Car,Medsize
ON30714,California,4932.878744,false,Basic,College,2024-02-06,Employed,M,74809,Urban,Married,61,7,35,0,3,Personal Auto,Personal L2,Offer2,Branch,283.787384,Two-Door Car,Small
QG51953,Oregon,4835.783179,false,Basic,College,2024-01-29,Employed,M,36655,Suburban,Married,61,15,81,0,9,Personal Auto,Personal L3,Offer1,Web,295.223164,Four-Door Car,Small
AT29024,California,4892.628631,false,Basic,High School or Below,2024-01-04,Employed,F,27005,Suburban,Married,61,10,72,0,7,Corporate Auto,Corporate L2,Offer2,Agent,311.84034,Four-Door Car,Small
LZ12396,Arizona,4795.387295,false,Basic,Bachelor,2024-02-05,Employed,F,33068,Urban,Married,61,6,77,1,6,Personal Auto,Personal L1,Offer1,Branch,213.038013,Four-Door Car,Medsize
XP76338,California,4711.038869,false,Basic,Bachelor,2024-01-03,Employed,M,24843,Suburban,Married,61,20,17,2,4,Personal Auto,Personal L2,Offer1,Agent,331.325638,Four-Door Car,Medsize
MN19541,Arizona,1994.774936,false,Basic,College,2024-01-23,Unemployed,M,0,Suburban,Single,61,18,96,0,1,Personal Auto,Personal L1,Offer2,Web,393.215919,Four-Door Car,Medsize
PI71828,Arizona,2395.968567,false,Basic,College,2024-02-18,Employed,M,38460,Urban,Divorced,61,11,98,0,1,Personal Auto,Personal L3,Offer1,Branch,191.365686,Four-Door Car,Medsize
CF62992,Oregon,2471.077732,false,Basic,High School or Below,2024-01-16,Employed,F,53074,Urban,Married,61,5,86,0,1,Personal Auto,Personal L2,Offer1,Agent,268.773368,Two-Door Car,Medsize
AE93522,Washington,7212.143863,false,Basic,Bachelor,2024-01-23,Employed,M,75891,Rural,Single,61,1,5,0,2,Corporate Auto,Corporate L2,Offer2,Branch,61.285525,Two-Door Car,Medsize
XK10881,Oregon,4836.892172,false,Basic,Bachelor,2024-02-10,Employed,M,39310,Rural,Married,61,5,89,0,3,Personal Auto,Personal L3,Offer1,Agent,93.181865,Four-Door Car,Medsize
SJ43436,Oregon,2452.738575,false,Basic,Bachelor,2024-01-28,Employed,F,52785,Rural,Married,61,2,90,0,1,Corporate Auto,Corporate L1,Offer2,Agent,45.721456,Two-Door Car,Medsize
VG56765,Arizona,2471.528431,true,Basic,High School or Below,2024-01-15,Employed,M,95697,Rural,Married,61,16,55,0,1,Personal Auto,Personal L2,Offer2,Agent,114.273025,Two-Door Car,Medsize
PC83755,Oregon,2471.528431,true,Basic,High School or Below,2024-01-15,Employed,M,95697,Rural,Married,61,16,55,0,1,Personal Auto,Personal L2,Offer2,Agent,114.273025,Two-Door Car,Medsize
HX74855,Washington,2471.528431,true,Basic,High School or Below,2024-01-15,Employed,M,95697,Rural,Married,61,16,55,0,1,Personal Auto,Personal L3,Offer2,Agent,114.273025,Two-Door Car,Medsize
AS17174,Oregon,2471.528431,true,Basic,High School or Below,2024-01-15,Employed,M,95697,Rural,Married,61,16,55,0,1,Personal Auto,Personal L2,Offer2,Agent,114.273025,Two-Door Car,Medsize
YA10507,California,2471.528431,true,Basic,High School or Below,2024-01-15,Employed,M,95697,Rural,Married,61,16,55,0,1,Special Auto,Special L3,Offer2,Agent,114.273025,Two-Door Car,Medsize
VE52406,California,2471.528431,true,Basic,High School or Below,2024-01-15,Employed,M,95697,Rural,Married,61,16,55,0,1,Corporate Auto,Corporate L3,Offer2,Agent,114.273025,Two-Door Car,Medsize
NF78904,California,7370.61684,false,Basic,Bachelor,2024-01-12,Employed,F,67871,Rural,Married,61,1,21,0,2,Corporate Auto,Corporate L2,Offer1,Branch,10.475529,Four-Door Car,Medsize
NP88319,Oregon,6945.016955,false,Basic,High School or Below,2024-02-02,Disabled,F,15850,Suburban,Married,61,28,14,0,2,Corporate Auto,Corporate L3,Offer4,Call Center,314.528138,Two-Door Car,Medsize
JJ76159,California,2434.681155,false,Basic,College,2024-01-15,Employed,M,96045,Rural,Divorced,61,24,35,0,1,Corporate Auto,Corporate L3,Offer2,Web,8.582971,Four-Door Car,Large
HM20544,Washington,2175.740021,false,Basic,College,2024-02-05,Unemployed,F,0,Suburban,Single,61,31,15,0,1,Personal Auto,Personal L3,Offer1,Web,479.097472,Four-Door Car,Medsize
TY86306,California,2336.286633,false,Basic,College,2024-02-16,Disabled,F,21564,Rural,Married,61,11,61,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,49.014822,Two-Door Car,Large
JI25066,Arizona,4928.397077,false,Basic,Bachelor,2024-01-18,Employed,F,61785,Urban,Married,61,31,47,0,5,Personal Auto,Personal L3,Offer3,Web,271.10697,Two-Door Car,Large
QJ40732,Arizona,4880.339614,false,Basic,College,2024-01-23,Employed,M,97984,Suburban,Married,61,1,36,1,5,Personal Auto,Personal L2,Offer2,Agent,407.450118,Four-Door Car,Small
VJ49806,California,13009.18057,false,Basic,College,2024-02-12,Unemployed,M,0,Suburban,Single,61,2,81,0,2,Personal Auto,Personal L2,Offer1,Agent,380.069056,Two-Door Car,Medsize
BH35482,Washington,4930.949334,false,Basic,Doctor,2024-01-20,Employed,M,70412,Rural,Married,61,27,12,0,3,Corporate Auto,Corporate L3,Offer3,Web,136.291083,Two-Door Car,Medsize
AM79057,Oregon,2287.91729,false,Basic,Bachelor,2024-02-18,Employed,F,69024,Urban,Married,61,27,32,5,1,Personal Auto,Personal L2,Offer2,Web,238.530745,Four-Door Car,Medsize
CG69038,Washington,4817.992644,false,Basic,College,2024-02-26,Employed,M,38157,Rural,Married,61,2,39,0,4,Personal Auto,Personal L3,Offer3,Branch,81.53233,Two-Door Car,Medsize
NC58480,Nevada,4838.208972,false,Basic,Bachelor,2024-01-23,Employed,F,73769,Urban,Married,61,24,95,2,3,Personal Auto,Personal L3,Offer4,Web,239.540223,Four-Door Car,Medsize
EY49684,California,2309.876793,false,Basic,Bachelor,2024-02-25,Unemployed,F,0,Rural,Divorced,61,16,57,0,1,Personal Auto,Personal L3,Offer1,Agent,32.454659,Four-Door Car,Medsize
KL39986,Arizona,19278.81715,false,Basic,High School or Below,2024-01-05,Unemployed,F,0,Suburban,Single,61,12,77,0,2,Personal Auto,Personal L3,Offer3,Branch,366.604732,Two-Door Car,Medsize
GH94657,California,2319.818549,false,Basic,Bachelor,2024-01-27,Disabled,M,14660,Suburban,Married,61,14,97,0,1,Personal Auto,Personal L2,Offer2,Call Center,396.608751,Four-Door Car,Medsize
HE12295,California,4446.738622,false,Basic,High School or Below,2024-02-24,Unemployed,M,0,Suburban,Single,61,32,42,0,3,Personal Auto,Personal L1,Offer1,Branch,616.279356,Four-Door Car,Medsize
YQ79307,Washington,4768.955924,false,Basic,Bachelor,2024-01-10,Employed,M,51144,Urban,Married,61,28,32,1,9,Personal Auto,Personal L3,Offer1,Agent,223.305224,Two-Door Car,Medsize
TF77410,Arizona,4819.183706,false,Basic,College,2024-02-02,Employed,M,74730,Suburban,Single,61,18,84,0,6,Personal Auto,Personal L3,Offer2,Branch,421.235276,Four-Door Car,Small
IC32996,Oregon,4872.774396,false,Basic,High School or Below,2024-02-09,Employed,M,69247,Urban,Married,61,12,64,1,3,Corporate Auto,Corporate L3,Offer4,Agent,226.522147,Two-Door Car,Medsize
SG53084,California,4766.645359,false,Basic,Bachelor,2024-02-28,Employed,F,70432,Rural,Married,61,16,49,3,4,Personal Auto,Personal L2,Offer4,Web,6.422285,Four-Door Car,Medsize
ZO44848,California,20864.30762,false,Basic,College,2024-01-07,Unemployed,F,0,Urban,Married,61,22,94,0,2,Special Auto,Special L3,Offer1,Branch,216.08671,Four-Door Car,Medsize
GO53814,Oregon,4878.950256,false,Basic,High School or Below,2024-01-18,Employed,F,43358,Suburban,Married,61,2,83,0,6,Corporate Auto,Corporate L3,Offer4,Branch,400.294938,Two-Door Car,Small
